year,entity,code,yield_tonnes_per_ha,climate_region,provenance
2007,Cote d'Ivoire,CIV,0.5184001,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Cote d'Ivoire,CIV,0.6011,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Cote d'Ivoire,CIV,0.5621,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Cote d'Ivoire,CIV,0.5711,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2011,Cote d'Ivoire,CIV,0.5628,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2012,Cote d'Ivoire,CIV,0.5411,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2013,Cote d'Ivoire,CIV,0.53050005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2014,Cote d'Ivoire,CIV,0.531,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2015,Cote d'Ivoire,CIV,0.51940006,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Cote d'Ivoire,CIV,0.51570004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Cote d'Ivoire,CIV,0.51070005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Cote d'Ivoire,CIV,0.51890004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Cote d'Ivoire,CIV,0.51870006,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Cote d'Ivoire,CIV,0.51570004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Cote d'Ivoire,CIV,0.50920004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Cote d'Ivoire,CIV,0.5034,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Cote d'Ivoire,CIV,0.49950004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Cote d'Ivoire,CIV,0.49550003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Ecuador,ECU,0.2618,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Ecuador,ECU,0.2502,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Ecuador,ECU,0.24080001,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Ecuador,ECU,0.2504,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Ecuador,ECU,0.30290002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Ecuador,ECU,0.3669,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2011,Ecuador,ECU,0.4084,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2012,Ecuador,ECU,0.34170002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2013,Ecuador,ECU,0.31920004,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2014,Ecuador,ECU,0.41920003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2015,Ecuador,ECU,0.41700003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Ecuador,ECU,0.39090002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Ecuador,ECU,0.44070002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Ecuador,ECU,0.46850002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Ecuador,ECU,0.53990006,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Ecuador,ECU,0.6218,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Ecuador,ECU,0.5558,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Ecuador,ECU,0.6621,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Ecuador,ECU,0.72720003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Ecuador,ECU,0.7454001,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Ghana,GHA,0.4,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Ghana,GHA,0.4,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Ghana,GHA,0.42000002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Ghana,GHA,0.37350002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Ghana,GHA,0.44410002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Ghana,GHA,0.395,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2011,Ghana,GHA,0.4374,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2012,Ghana,GHA,0.54950005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2013,Ghana,GHA,0.5221,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2014,Ghana,GHA,0.51000005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2015,Ghana,GHA,0.51000005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Ghana,GHA,0.51000005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Ghana,GHA,0.5201,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Ghana,GHA,0.52400005,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Ghana,GHA,0.52820003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Ghana,GHA,0.53830004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Ghana,GHA,0.55,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Ghana,GHA,0.5606,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Ghana,GHA,0.5684,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Ghana,GHA,0.57620007,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
